kab_kota,tahun,produksi_rakyat,produksi_swasta,produktivitas_rakyat,produktivitas_swasta,log_prdks_rakyat,log_prdks_swasta,cluster_produksi,cluster_produktivitas
KABUPATEN BOGOR,2017,24.0,900,680,1703,3.2188758248682006,6.803505257608338,1,1
KABUPATEN SUKABUMI,2017,2115.0,6245,757,1900,7.65728279297819,8.739696537843024,1,1
KABUPATEN CIANJUR,2017,8797.0,10031,1138,1677,9.082279701908664,9.213535262872702,1,1
KABUPATEN BANDUNG,2017,3560.0,9033,2155,1671,8.177796683277778,9.108750516214549,1,1
KABUPATEN GARUT,2017,3754.0,1826,1661,1563,8.230843564198235,7.510430556378006,1,1
KABUPATEN TASIKMALAYA,2017,13236.0,1008,1987,1035,9.490771217713771,6.9167150203536085,1,1
KABUPATEN CIAMIS,2017,83.0,0,960,0,4.430816798843313,0.0,2,2
KABUPATEN KUNINGAN,2017,0.0,0,0,0,0.0,0.0,0,0
KABUPATEN CIREBON,2017,0.0,0,0,0,0.0,0.0,0,0
KABUPATEN MAJALENGKA,2017,314.0,0,1142,0,5.752572638825633,0.0,2,2
KABUPATEN SUMEDANG,2017,258.0,0,795,0,5.556828061699537,0.0,2,2
KABUPATEN INDRAMAYU,2017,0.0,0,0,0,0.0,0.0,0,0
KABUPATEN SUBANG,2017,637.0,0,1653,0,6.45833828334479,0.0,2,2
KABUPATEN PURWAKARTA,2017,5567.0,390,1431,1749,8.624791202014256,5.968707559985366,1,1
KABUPATEN KARAWANG,2017,0.0,0,0,0,0.0,0.0,0,0
KABUPATEN BEKASI,2017,0.0,0,0,0,0.0,0.0,0,0
KABUPATEN BANDUNG BARAT,2017,2261.0,43,1667,950,7.724004656676065,3.784189633918261,1,1
KABUPATEN PANGANDARAN,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA BOGOR,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA SUKABUMI,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA BANDUNG,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA CIREBON,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA BEKASI,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA DEPOK,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA CIMAHI,2017,0.0,0,0,0,0.0,0.0,0,0
KOTA TASIKMALAYA,2017,0.0,0,0,0,0.0,0.0,0,0
